id,latitude,longitude,photo_url,access,amenity,armrest,backrest,bench:type,capacity,check_date,circumference,colour,denotation,description,direction,ele,ele:ellipsoid,ele:geoid,fixme,genus,height,highway,image,indoor,inscription,lamp_mount,layer,leaf_cycle,leaf_type,level,light:count,light:lit,light:shape,lit,location,mapillary,mapillary:SW,mapillary:W,material,name,name:cs,name:en,natural,note,note:ele,outdoor_seating,panoramax,ref,seats,shelter,sides,source,source:amenity,source:position,species,species:wikidata,start_date,support,survey,survey:date,two_sided
1130252511,48.8460712,2.3400150,,,bench,,yes,,,2023-04-23,,green,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,
1130252676,48.8455632,2.3397370,,,bench,,yes,,,,,green,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,
1130252780,48.8441700,2.3392159,,,bench,,yes,,,2021-05-06,,green,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,
1130252857,48.8446342,2.3392126,,,bench,,yes,,,,,green,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,
1147021419,48.8239656,2.2780315,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,
1179766852,48.8342318,2.3319172,,,bench,,yes,,,2021-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,bing,,,,,,,,,
1179766881,48.8343455,2.3319342,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,bing,,,,,,,,,
1179766940,48.8344349,2.3317649,,,bench,,yes,,,2021-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bing,,,,,,,,,
1179767054,48.8344566,2.3316949,,,bench,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bing,,,,,,,,,
1179767072,48.8342256,2.3318425,,,bench,,yes,,,2021-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,bing,,,,,,,,,
